country,iso3,year,value,indicator_name
Afghanistan,AFG,2023,17.7089,Individuals using the Internet (% of population)
Georgia,GEO,2023,81.8843,Individuals using the Internet (% of population)
Guyana,GUY,2023,81.7221,Individuals using the Internet (% of population)
Guinea-Bissau,GNB,2023,32.4661,Individuals using the Internet (% of population)
Guinea,GIN,2023,26.5014,Individuals using the Internet (% of population)
Guatemala,GTM,2023,56.0535,Individuals using the Internet (% of population)
Grenada,GRD,2023,74.1201,Individuals using the Internet (% of population)
Greece,GRC,2023,85.0102,Individuals using the Internet (% of population)
Ghana,GHA,2023,69.9445,Individuals using the Internet (% of population)
Germany,DEU,2023,92.4764,Individuals using the Internet (% of population)
"Gambia, The",GMB,2023,45.9137,Individuals using the Internet (% of population)
Libya,LBY,2023,88.4989,Individuals using the Internet (% of population)
Gabon,GAB,2023,71.9256,Individuals using the Internet (% of population)
France,FRA,2023,86.8364,Individuals using the Internet (% of population)
Finland,FIN,2023,93.5139,Individuals using the Internet (% of population)
Fiji,FJI,2023,79.3485,Individuals using the Internet (% of population)
Eswatini,SWZ,2023,57.62,Individuals using the Internet (% of population)
Estonia,EST,2023,93.1834,Individuals using the Internet (% of population)
Eritrea,ERI,2023,20.0104,Individuals using the Internet (% of population)
Equatorial Guinea,GNQ,2023,60.3661,Individuals using the Internet (% of population)
Honduras,HND,2023,58.2789,Individuals using the Internet (% of population)
Hungary,HUN,2023,91.4501,Individuals using the Internet (% of population)
Iceland,ISL,2023,99.8301,Individuals using the Internet (% of population)
Indonesia,IDN,2023,69.2084,Individuals using the Internet (% of population)
Lesotho,LSO,2023,47.991,Individuals using the Internet (% of population)
Lebanon,LBN,2023,83.4933,Individuals using the Internet (% of population)
Lao PDR,LAO,2023,63.6255,Individuals using the Internet (% of population)
Kyrgyz Republic,KGZ,2023,88.4701,Individuals using the Internet (% of population)
Kuwait,KWT,2023,99.7473,Individuals using the Internet (% of population)
"Korea, Rep.",KOR,2023,97.416,Individuals using the Internet (% of population)
Kiribati,KIR,2023,88.0,Individuals using the Internet (% of population)
Kenya,KEN,2023,35.0,Individuals using the Internet (% of population)
Kazakhstan,KAZ,2023,92.8785,Individuals using the Internet (% of population)
Jordan,JOR,2023,92.5344,Individuals using the Internet (% of population)
Japan,JPN,2023,86.9815,Individuals using the Internet (% of population)
Jamaica,JAM,2023,89.473,Individuals using the Internet (% of population)
Italy,ITA,2023,87.0278,Individuals using the Internet (% of population)
Israel,ISR,2023,87.0384,Individuals using the Internet (% of population)
Ireland,IRL,2023,96.4974,Individuals using the Internet (% of population)
Iraq,IRQ,2023,81.7291,Individuals using the Internet (% of population)
"Iran, Islamic Rep.",IRN,2023,79.6309,Individuals using the Internet (% of population)
El Salvador,SLV,2023,67.6558,Individuals using the Internet (% of population)
"Egypt, Arab Rep.",EGY,2023,72.6899,Individuals using the Internet (% of population)
Ecuador,ECU,2023,72.6943,Individuals using the Internet (% of population)
